LABEL; TEMPERATURE
Christen-Democratisch en Vlaams; +0.5
Centre Démocrate Humaniste; -0.5
Christlich Soziale Partei; -0.5
Parti Socialiste; -1.5
Socialistische Partij - Anders; -1.5
Nieuw-Vlaamse Alliantie; +1.5
Open Vlaamse Liberalen en Democraten; +1.0
Mouvement Réformateur; +1.0
Ecologistes Confédérés pour l'Organisation de Luttes Originales; -1.0
Groen; -1.0
Vlaams Belang; +2.0
Other parties from German-speaking electoral college; 0.0
Other parties from French-speaking electoral college; 0.0
Other parties from Dutch-speaking electoral college; 0.0
Coal. RB/Реформаторски блок; +1.0
Граждани за европейско развитие за България; +1.0
България без цензура (ББЦ) + Вътрешна македонска революционна организация-Българско национално движение + Гергьовден (ВМРО-БНД) +Земеделски народен съюз (ЗНС); +1.5
Движение за права и свободи; -0.5
Other parties; 0.0
Coalition Křesťanská a demokratická unie – Československá strana lidová; +0.5
Coalition TOP 09 + Starostové a nezávislí; +1.0
Česká strana sociálně demokratická; -1.5
Občanská demokratická strana; +1.0
ANO 2011; +0.5
Komunistická strana Čech a Moravy; -2.0
Strana svobodných občanů; +1.5
Det Konservative Folkeparti; +1.0
Socialdemokratiet; -1.5
Dansk Folkeparti; +2.0
Radikale Venstre; -0.5
Venstre, Danmarks Liberale Parti; +1.0
Folkebevægelsen mod EU; -1.0
Socialistisk Folkeparti; -1.5
Christlich Demokratische Union Deutschlands/Christlich-Soziale Union in Bayern e.V.; +1.0
Sozialdemokratische Partei Deutschlands; -1.5
Familien-Partei Deutschlands; +0.5
Alternative für Deutschland; +2.0
FREIE WÄHLER; +0.5
Freie Demokratische Partei; +1.0
PARTEI MENSCH UMWELT TIERSCHUTZ; -1.0
Die Linke; -2.0
Ökologisch-Demokratische Partei; -1.0
Piratenpartei Deutschland; -0.5
Bündnis 90/Die Grünen; -1.0
Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative; 0.0
Nationaldemokratische Partei Deutschlands; +2.0
Fine Gael; +1.0
Independents + other parties; 0.0
Fianna Fáil; +0.5
Sinn Féin; -1.5
Erakond Isamaa ja Res Publica Liit; +1.0
Sotsiaaldemokraatlik Erakond; -1.5
Eesti Keskerakond; -0.5
Eesti Reformierakond; +1.0
Indrek Tarand (Independent); 0.0
Νέα Δημοκρατία; +1.0
Το ποτάμι; -0.5
Ελιά-Δημοκρατική Παράταξη; -1.5
