LABEL; TEMPERATURE
Nieuw-Vlaamse Alliantie; +1.5
Vlaams Belang; +2.0
Open Vlaamse Liberalen en Democraten; +1.0
Christen-Democratisch en Vlaams; +0.5
Groen; -1.0
Vooruit; -1.5
Partij van de Arbeid van België; -1.5
Parti Socialiste; -1.5
Ecologistes Confédérés pour l'Organisation de Luttes Originales; -1.0
Mouvement Réformateur; +1.0
Les Engagés; -0.5
Démocrate Fédéraliste Indépendant; 0.0
Parti du Travail de Belgique; -2.0
Christlich Soziale Partei; -0.5
Sozialistische Partei; -1.5
Partei für Freiheit und Fortschritt; +1.0
Pro deutschsprachige Gemeinschaft; 0.0
Ecologistes Confédérés pour l'Organisation de Luttes Originales (G.); -1.0
Other parties from Dutch-speaking electoral college; 0.0
Other parties from French-speaking electoral college; 0.0
Other parties from German-speaking electoral college; 0.0
Christlich Soziale Partei; -0.5
Pro deutschsprachige Gemeinschaft; 0.0
Ecologistes Confédérés pour l'Organisation de Luttes Originales; -1.0
Coalition Grazhdani za evropeysko razvitie na Balgariya - Sayuz na demokratichnite sili/Граждани за европейско развитие на България - Съюз на демократичните сили; +1.0
Bulgarska sotsialisticheska partiy/Българска социалистическа партия; -1.5
Dvizhenie za prava i svobodi/Движение за права и свободи; -0.5
Coalition Prodalzhavame promyanata – Demokratichna Balgariya/Продължаваме промяната – Демократична България; +0.5
Vazrazhdane/Възраждане; +2.0
Ima takav narod/Има такъв народ; +1.0
Other parties; 0.0
ANO 2011; +0.5
Česká pirátská strana; -0.5
Coalition Starostové a osobnosti pro Evropu Starostové a nezávislí, Starostové pro Liberecký kraj; +0.5
Coalition Stačilo! (Komunistická strana Čech a Moravy, Česká strana národně sociální, Spojení demokraté – Sdružení nezávislých); -2.0
Sociální Demokracie; -1.5
Strana Svobodných Občanů; +1.5
Coalition SPOLU (Občanská demokratická strana, Křesťanská a demokratická unie – Československá strana lidová, Tradice Odpovědnost Prosperita 09); +1.0
Strana zelených; -1.0
Coalition Přísaha a Motoristé (Přísaha – občanské hnutí Roberta Šlachty, AUTO - Motoristé sobě); +1.0
Coalition SPD a Trikolora (Svoboda a přímá demokracie, Trikolóra hnutí občanů); +2.0
Právo Respekt Odbornost - Jindřicha Rajchla; +0.5
Venstre, Danmarks Liberale Parti; +1.0
Socialdemokratiet; -1.5
Socialistisk Folkeparti; -1.5
Dansk Folkeparti; +2.0
Radikale Venstre; -0.5
Det Konservative Folkeparti; +1.0
Enhedslisten - De Rød-Grønne; -2.0
Alternativet; -1.0
Liberal Alliance; +1.0
Moderaterne; +1.0
Danmarksdemokraterne - Inger Støjberg; +1.5
Christlich Demokratische Union Deutschlands/Christlich-Soziale Union in Bayern; +1.0
Sozialdemokratische Partei Deutschlands; -1.5
Bündnis 90/Die Grünen; -1.0
Alternative für Deutschland; +2.0
Die Linke; -2.0
Freie Demokratische Partei; +1.0
Freie Wähler; +0.5
Partei Mensch Umwelt Tierschutz; -1.0
Bündnis Sahra Wagenknecht - Für Vernunft und Gerechtigkeit; -1.5
Piratenpartei Deutschland; -0.5
Familien-Partei Deutschlands; +0.5
Ökologisch-Demokratische Partei; -1.0
Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative; 0.0
Volt Deutschland; -0.5
Partei des Fortschritts; 0.0
Eesti Reformierakond; +1.0
Sotsiaaldemokraatlik Erakond; -1.5
Eesti Keskerakond; -0.5
Eesti Konservatiivne Rahvaerakond; +2.0
Isamaa Erakond; +1.0
Erakond Eesti 200; +0.5
Erakond Eestimaa Rohelised; -1.0
Erakond Parempoolsed; +1.0
KOOS organisatsioon osutab suveräänsusele; +1.0
Fine Gael; +1.0
Fianna Fáil – The Republican Party/Fianna Fáil - An Páirtí Poblachtánach; +0.5
Independent/Neamhspleách; 0.0
Sinn Féin; -1.5
Green Party/An Comhaontas Glas; -1.0
The Labour Party/Páirtí an Lucht Oibre; -1.0
People Before Profit–Solidarity/Dlúthpháirtíocht–Pobal Seachas Brabús; -2.0
