GROUP_ID;SEATS_TOTAL;SEATS_PERCENT_EU;UPDATE_STATUS;UPDATE_TIME
GP0801;37;5.91;CONSTITUTIVE;
GP0802;30;4.79;CONSTITUTIVE;
GP0803;10;1.6;CONSTITUTIVE;
GP0804;6;0.96;CONSTITUTIVE;
GP0805;0;0.0;CONSTITUTIVE;
GP0806;0;0.0;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;3;0.48;CONSTITUTIVE;
;1;0.16;CONSTITUTIVE;
GP0801;5;0.8;CONSTITUTIVE;
GP0802;3;0.48;CONSTITUTIVE;
GP0803;5;0.8;CONSTITUTIVE;
GP0804;2;0.32;CONSTITUTIVE;
GP0805;1;0.16;CONSTITUTIVE;
GP0806;0;0.0;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;0;0.0;CONSTITUTIVE;
;0;0.0;CONSTITUTIVE;
GP0801;9;1.44;CONSTITUTIVE;
GP0802;9;1.44;CONSTITUTIVE;
GP0803;0;0.0;CONSTITUTIVE;
GP0804;0;0.0;CONSTITUTIVE;
GP0805;7;1.12;CONSTITUTIVE;
GP0806;0;0.0;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;0;0.0;CONSTITUTIVE;
;0;0.0;CONSTITUTIVE;
GP0801;28;4.47;CONSTITUTIVE;
GP0802;24;3.83;CONSTITUTIVE;
GP0803;3;0.48;CONSTITUTIVE;
GP0804;4;0.64;CONSTITUTIVE;
GP0805;4;0.64;CONSTITUTIVE;
GP0806;0;0.0;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;0;0.0;CONSTITUTIVE;
;1;0.16;CONSTITUTIVE;
GP0801;2;0.32;CONSTITUTIVE;
GP0802;2;0.32;CONSTITUTIVE;
GP0803;1;0.16;CONSTITUTIVE;
GP0804;1;0.16;CONSTITUTIVE;
GP0805;0;0.0;CONSTITUTIVE;
GP0806;0;0.0;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;0;0.0;CONSTITUTIVE;
;0;0.0;CONSTITUTIVE;
GP0801;9;1.44;CONSTITUTIVE;
GP0802;12;1.92;CONSTITUTIVE;
GP0803;0;0.0;CONSTITUTIVE;
GP0804;0;0.0;CONSTITUTIVE;
GP0805;2;0.32;CONSTITUTIVE;
GP0806;2;0.32;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;0;0.0;CONSTITUTIVE;
;0;0.0;CONSTITUTIVE;
GP0801;7;1.12;CONSTITUTIVE;
GP0802;7;1.12;CONSTITUTIVE;
GP0803;0;0.0;CONSTITUTIVE;
GP0804;2;0.32;CONSTITUTIVE;
GP0805;0;0.0;CONSTITUTIVE;
GP0806;0;0.0;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;0;0.0;CONSTITUTIVE;
;5;0.8;CONSTITUTIVE;
GP0801;20;3.19;CONSTITUTIVE;
GP0802;22;3.51;CONSTITUTIVE;
GP0803;0;0.0;CONSTITUTIVE;
GP0804;9;1.44;CONSTITUTIVE;
GP0805;11;1.76;CONSTITUTIVE;
GP0806;13;2.08;CONSTITUTIVE;
GP0807;5;0.8;CONSTITUTIVE;
GP0808;6;0.96;CONSTITUTIVE;
;1;0.16;CONSTITUTIVE;
GP0801;5;0.8;CONSTITUTIVE;
GP0802;1;0.16;CONSTITUTIVE;
GP0803;1;0.16;CONSTITUTIVE;
GP0804;2;0.32;CONSTITUTIVE;
GP0805;0;0.0;CONSTITUTIVE;
GP0806;6;0.96;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;0;0.0;CONSTITUTIVE;
;0;0.0;CONSTITUTIVE;
GP0801;36;5.75;CONSTITUTIVE;
GP0802;29;4.63;CONSTITUTIVE;
GP0803;10;1.6;CONSTITUTIVE;
GP0804;6;0.96;CONSTITUTIVE;
GP0805;0;0.0;CONSTITUTIVE;
GP0806;0;0.0;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;3;0.48;CONSTITUTIVE;
;0;0.0;CONSTITUTIVE;
GP0801;2;0.32;CONSTITUTIVE;
GP0802;3;0.48;CONSTITUTIVE;
GP0803;2;0.32;CONSTITUTIVE;
GP0804;3;0.48;CONSTITUTIVE;
GP0805;0;0.0;CONSTITUTIVE;
GP0806;0;0.0;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;0;0.0;CONSTITUTIVE;
;0;0.0;CONSTITUTIVE;
GP0801;1;0.16;CONSTITUTIVE;
GP0802;1;0.16;CONSTITUTIVE;
GP0803;0;0.0;CONSTITUTIVE;
GP0804;0;0.0;CONSTITUTIVE;
GP0805;0;0.0;CONSTITUTIVE;
GP0806;0;0.0;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;0;0.0;CONSTITUTIVE;
;1;0.16;CONSTITUTIVE;
GP0801;53;8.47;CONSTITUTIVE;
GP0802;33;5.27;CONSTITUTIVE;
GP0803;0;0.0;CONSTITUTIVE;
GP0804;7;1.12;CONSTITUTIVE;
GP0805;6;0.96;CONSTITUTIVE;
GP0806;0;0.0;CONSTITUTIVE;
GP0807;0;0.0;CONSTITUTIVE;
GP0808;0;0.0;CONSTITUTIVE;
;0;0.0;CONSTITUTIVE;
GP0801;232;37.06;CONSTITUTIVE;
GP0802;180;28.75;CONSTITUTIVE;
GP0803;50;7.99;CONSTITUTIVE;
GP0804;48;7.67;CONSTITUTIVE;
GP0805;42;6.71;CONSTITUTIVE;
GP0806;31;4.95;CONSTITUTIVE;
GP0807;18;2.88;CONSTITUTIVE;
GP0808;16;2.56;CONSTITUTIVE;
;9;1.0;CONSTITUTIVE;
GP0801;1;0.16;CONSTITUTIVE;
GP0802;3;0.48;CONSTITUTIVE;
GP0803;6;0.96;CONSTITUTIVE;
