PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;15.31;FINAL;
UK02;PARTY;13.36;FINAL;
UK03;PARTY;2.05;FINAL;
UK04;PARTY;8.38;FINAL;
UK05;PARTY;0.78;FINAL;
UK06;PARTY;27.0;FINAL;
UK07;PARTY;0.43;FINAL;
UK08;PARTY;0.65;FINAL;
UK09;PARTY;16.09;FINAL;
UK10;PARTY;6.04;FINAL;
UK11;PARTY;0.46;FINAL;
UK90;PARTY;0.56;FINAL;
UK91;PARTY;8.89;FINAL;
FI01;PARTY;23.2;FINAL;
FI02;COALITION;14.0;FINAL;
FI05;COALITION;17.5;FINAL;
FI08;PARTY;19.0;FINAL;
FI09;PARTY;6.1;FINAL;
FI10;PARTY;12.4;FINAL;
FI90;PARTY;7.8;FINAL;
EL01;PARTY;32.29;FINAL;
EL02;PARTY;36.65;FINAL;
EL03;PARTY;3.49;FINAL;
EL04;PARTY;8.35;FINAL;
EL05;PARTY;4.7;FINAL;
EL06;PARTY;7.15;FINAL;
EL90;PARTY;7.37;FINAL;
ES01;PARTY;42.23;FINAL;
ES02;COALITION;38.51;FINAL;
ES05;COALITION;5.12;FINAL;
ES08;COALITION;3.73;FINAL;
ES11;COALITION;2.5;FINAL;
ES13;PARTY;2.87;FINAL;
ES90;PARTY;5.04;FINAL;
LU01;PARTY;31.33;FINAL;
LU02;PARTY;19.2;FINAL;
LU03;PARTY;18.71;FINAL;
LU04;PARTY;16.84;FINAL;
LU90;PARTY;13.92;FINAL;
PT01;PARTY;31.71;FINAL;
PT02;PARTY;8.36;FINAL;
PT03;PARTY;26.53;FINAL;
PT04;PARTY;10.72;FINAL;
PT05;COALITION;10.64;FINAL;
PT90;PARTY;12.04;FINAL;
AT01;PARTY;29.98;FINAL;
AT02;PARTY;23.74;FINAL;
AT03;PARTY;9.93;FINAL;
AT04;PARTY;17.67;FINAL;
AT05;PARTY;12.71;FINAL;
AT90;PARTY;5.97;FINAL;
CY01;PARTY;35.65;FINAL;
CY02;PARTY;9.85;FINAL;
CY03;PARTY;12.28;FINAL;
CY04;PARTY;34.9;FINAL;
CY90;PARTY;7.32;FINAL;
LT01;PARTY;26.86;FINAL;
LT02;PARTY;18.61;FINAL;
LT03;PARTY;8.79;FINAL;
LT04;PARTY;7.36;FINAL;
LT05;PARTY;8.42;FINAL;
LT06;PARTY;12.22;FINAL;
LT90;PARTY;17.74;FINAL;
FR01;COALITION;27.8;FINAL;
FR05;PARTY;16.48;FINAL;
FR06;PARTY;8.4;FINAL;
FR07;PARTY;16.28;FINAL;
FR08;COALITION;6.0;FINAL;
FR12;COALITION;0.42;FINAL;
FR14;COALITION;4.6;FINAL;
FR16;PARTY;6.3;FINAL;
FR90;PARTY;13.72;FINAL;
IE01;PARTY;29.13;FINAL;
IE02;PARTY;13.92;FINAL;
IE03;PARTY;4.63;FINAL;
IE04;PARTY;24.08;FINAL;
IE05;PARTY;2.76;FINAL;
IE90;PARTY;25.48;FINAL;
UK01;PARTY;15.7;FINAL;
UK02;PARTY;13.7;FINAL;
UK06;PARTY;27.7;FINAL;
UK09;PARTY;16.5;FINAL;
UK11;PARTY;6.2;FINAL;
UK03;PARTY;2.1;FINAL;
UK04;PARTY;8.38;FINAL;
UK05;PARTY;0.78;FINAL;
UK91;PARTY;8.94;FINAL;
LV01;PARTY;6.66;FINAL;
LV02;PARTY;24.32;FINAL;
LV03;COALITION;19.57;FINAL;
LV06;PARTY;7.49;FINAL;
LV07;PARTY;9.66;FINAL;
LV08;PARTY;7.45;FINAL;
LV90;PARTY;24.85;FINAL;
BE04;PARTY;29.1;FINAL;
BE08;PARTY;22.88;FINAL;
BE02;PARTY;13.34;FINAL;
BE07;PARTY;26.05;FINAL;
BE91;PARTY;8.63;FINAL;
UK08;PARTY;26.04;FINAL;
UK07;PARTY;17.11;FINAL;
UK12;PARTY;18.23;FINAL;
UK90;PARTY;38.62;FINAL;
DE01;PARTY;30.7;FINAL;
DE02;PARTY;7.2;FINAL;
DE03;PARTY;20.8;FINAL;
DE04;PARTY;11.0;FINAL;
DE05;PARTY;12.1;FINAL;
DE06;PARTY;7.5;FINAL;
DE90;PARTY;10.7;FINAL;
DK01;PARTY;12.3;FINAL;
DK02;PARTY;20.9;FINAL;
DK03;PARTY;19.6;FINAL;
DK04;PARTY;15.4;FINAL;
DK05;PARTY;7.0;FINAL;
DK06;PARTY;14.8;FINAL;
DK90;PARTY;10.0;FINAL;
IT01;PARTY;35.26;FINAL;
IT02;PARTY;6.51;FINAL;
IT03;PARTY;0.46;FINAL;
IT04;PARTY;26.13;FINAL;
IT05;PARTY;8.0;FINAL;
IT06;PARTY;10.2;FINAL;
IT90;PARTY;13.44;FINAL;
BE01;PARTY;14.43;FINAL;
BE02;PARTY;4.99;FINAL;
BE03;PARTY;0.19;FINAL;
BE04;PARTY;10.88;FINAL;
BE05;PARTY;8.21;FINAL;
BE06;PARTY;12.75;FINAL;
BE07;PARTY;9.74;FINAL;
BE08;PARTY;8.55;FINAL;
BE09;PARTY;4.9;FINAL;
BE10;PARTY;6.13;FINAL;
BE11;PARTY;4.51;FINAL;
BE12;PARTY;9.85;FINAL;
BE13;PARTY;0.12;FINAL;
BE14;PARTY;0.09;FINAL;
BE15;PARTY;0.09;FINAL;
BE91;PARTY;2.29;FINAL;
BE92;PARTY;0.1;FINAL;
BE90;PARTY;2.18;FINAL;
CZ01;PARTY;7.64;FINAL;
CZ02;PARTY;22.38;FINAL;
CZ03;PARTY;31.45;FINAL;
CZ04;PARTY;14.18;FINAL;
CZ90;PARTY;24.35;FINAL;
HU01;COALITION;56.36;FINAL;
HU05;PARTY;17.37;FINAL;
HU06;PARTY;5.31;FINAL;
HU07;PARTY;14.77;FINAL;
HU90;PARTY;6.19;FINAL;
MT01;PARTY;40.49;FINAL;
MT02;PARTY;54.77;FINAL;
MT90;PARTY;4.74;FINAL;
RO01;PARTY;29.71;FINAL;
RO02;PARTY;8.92;FINAL;
RO03;COALITION;31.07;FINAL;
RO06;PARTY;14.52;FINAL;
RO07;PARTY;8.65;FINAL;
RO08;PARTY;4.22;FINAL;
RO90;PARTY;7.13;FINAL;
PL01;PARTY;44.43;FINAL;
PL02;PARTY;7.01;FINAL;
PL03;COALITION;12.34;FINAL;
PL06;PARTY;27.4;FINAL;
PL90;PARTY;8.82;FINAL;
BG01;PARTY;24.36;FINAL;
BG02;PARTY;7.95;FINAL;
BG03;PARTY;18.5;FINAL;
BG04;PARTY;14.14;FINAL;
BG05;PARTY;7.96;FINAL;
BG06;PARTY;11.96;FINAL;
BG90;PARTY;15.13;FINAL;
SI01;PARTY;26.92;FINAL;
SI02;PARTY;16.33;FINAL;
SI03;PARTY;18.45;FINAL;
SI04;PARTY;11.52;FINAL;
SI05;PARTY;9.82;FINAL;
SI90;PARTY;16.96;FINAL;
BE05;PARTY;13.23;FINAL;
BE09;PARTY;7.9;FINAL;
BE10;PARTY;9.88;FINAL;
BE01;PARTY;23.26;FINAL;
BE06;PARTY;20.56;FINAL;
BE11;PARTY;7.28;FINAL;
BE12;PARTY;15.88;FINAL;
BE90;PARTY;2.01;FINAL;
EE01;PARTY;12.21;FINAL;
EE02;PARTY;8.7;FINAL;
EE03;PARTY;26.07;FINAL;
EE04;PARTY;15.34;FINAL;
EE05;PARTY;25.81;FINAL;
EE90;PARTY;11.87;FINAL;
SE01;PARTY;18.83;FINAL;
SE02;PARTY;4.68;FINAL;
SE03;PARTY;24.41;FINAL;
SE04;PARTY;13.58;FINAL;
SE05;PARTY;5.47;FINAL;
SE06;PARTY;11.02;FINAL;
SE07;PARTY;7.13;FINAL;
SE08;PARTY;5.66;FINAL;
SE90;PARTY;9.22;FINAL;
NL01;PARTY;20.05;FINAL;
NL02;PARTY;12.05;FINAL;
NL03;PARTY;11.39;FINAL;
NL04;PARTY;11.32;FINAL;
NL05;PARTY;8.87;FINAL;
NL06;COALITION;6.82;FINAL;
NL09;PARTY;7.1;FINAL;
NL10;PARTY;16.97;FINAL;
NL90;PARTY;5.43;FINAL;
BE03;PARTY;32.25;FINAL;
BE13;PARTY;20.37;FINAL;
BE14;PARTY;15.58;FINAL;
BE15;PARTY;14.63;FINAL;
BE92;PARTY;17.17;FINAL;
SK01;PARTY;10.87;FINAL;
SK02;PARTY;16.99;FINAL;
SK03;PARTY;11.34;FINAL;
SK04;PARTY;32.02;FINAL;
SK05;PARTY;8.98;FINAL;
SK06;PARTY;5.56;FINAL;
SK90;PARTY;14.24;FINAL;
