COUNTRY_NAME;YEAR;IMMIGRATION
Austria;1996;69930.0
Austria;1997;70122.0
Austria;1998;72723.0
Austria;1999;86710.0
Austria;2000;81676.0
Austria;2001;89928.0
Austria;2002;108125.0
Austria;2003;111869.0
Austria;2004;122547.0
Austria;2005;114465.0
Austria;2006;98535.0
Austria;2007;72862.0
Austria;2008;73772.0
Austria;2009;69295.0
Austria;2010;70978.0
Austria;2011;82230.0
Austria;2012;91557.0
Austria;2013;101866.0
Austria;2014;116262.0
Austria;2015;166323.0
Austria;2016;129509.0
Austria;2017;111801.0
Austria;2018;105633.0
Austria;2019;109167.0
Austria;2020;103565.0
Austria;2021;118511.0
Austria;2022;201622.0
Austria;2023;147591.0
Belgium;1990;62662.0
Belgium;1991;67460.0
Belgium;1992;66763.0
Belgium;1993;63749.0
Belgium;1994;66147.0
Belgium;1995;62950.0
Belgium;1996;61522.0
Belgium;1997;58849.0
Belgium;1998;83812.0
Belgium;1999;91624.0
Belgium;2000;89388.0
Belgium;2001;110410.0
Belgium;2002;113857.0
Belgium;2003;112060.0
Belgium;2004;117236.0
Belgium;2005;132810.0
Belgium;2006;137699.0
Belgium;2007;146409.0
Belgium;2010;135281.0
Belgium;2011;147377.0
Belgium;2012;129477.0
Belgium;2013;120078.0
Belgium;2014;123158.0
Belgium;2015;146626.0
Belgium;2016;123702.0
Belgium;2017;126703.0
Belgium;2018;137860.0
Belgium;2019;150006.0
Belgium;2020;118683.0
Belgium;2021;139743.0
Belgium;2022;208356.0
Belgium;2023;169609.0
Bulgaria;2007;1561.0
Bulgaria;2012;14103.0
Bulgaria;2013;18570.0
Bulgaria;2014;26615.0
Bulgaria;2015;25223.0
Bulgaria;2016;21241.0
Bulgaria;2017;25597.0
Bulgaria;2018;29559.0
Bulgaria;2019;37929.0
Bulgaria;2020;37364.0
Bulgaria;2021;39461.0
Bulgaria;2022;40619.0
Bulgaria;2023;56807.0
Switzerland;1990;154244.0
Switzerland;1991;164773.0
Switzerland;1992;157190.0
Switzerland;1993;144537.0
Switzerland;1994;130188.0
Switzerland;1995;113967.0
Switzerland;1996;97591.0
Switzerland;1997;91687.0
Switzerland;1998;95955.0
Switzerland;1999;107953.0
Switzerland;2000;110302.0
Switzerland;2001;124077.0
Switzerland;2002;127340.0
Switzerland;2003;119783.0
Switzerland;2004;120188.0
Switzerland;2005;118270.0
Switzerland;2006;127586.0
Switzerland;2007;165634.0
Switzerland;2008;184297.0
Switzerland;2009;160623.0
