COUNTRY_NAME;CURRENCY;YEAR;NET_EARNINGS
Austria;Euro;2000;20525.86
Austria;Euro;2001;20773.99
Austria;Euro;2002;21179.51
Austria;Euro;2003;21956.82
Austria;Euro;2004;22004.46
Austria;Euro;2005;22783.76
Austria;Euro;2006;23391.46
Austria;Euro;2007;23970.23
Austria;Euro;2008;24492.09
Austria;Euro;2009;25427.88
Austria;Euro;2010;25770.16
Austria;Euro;2011;26375.67
Austria;Euro;2012;26893.06
Austria;Euro;2013;27520.54
Austria;Euro;2014;27965.34
Austria;Euro;2015;28524.14
Austria;Euro;2016;30601.53
Austria;Euro;2017;31083.14
Austria;Euro;2018;31640.93
Austria;Euro;2019;32325.12
Austria;Euro;2020;33032.37
Austria;Euro;2021;33712.2
Austria;Euro;2022;36075.61
Austria;Euro;2023;38457.15
Belgium;Euro;2000;18034.69
Belgium;Euro;2001;18884.08
Belgium;Euro;2002;19686.29
Belgium;Euro;2003;20097.88
Belgium;Euro;2004;20739.41
Belgium;Euro;2005;21273.34
Belgium;Euro;2006;21880.46
Belgium;Euro;2007;22396.96
Belgium;Euro;2008;23405.3
Belgium;Euro;2009;24323.59
Belgium;Euro;2010;24873.45
Belgium;Euro;2011;25519.86
Belgium;Euro;2012;26287.51
Belgium;Euro;2013;26609.37
Belgium;Euro;2014;26775.94
Belgium;Euro;2015;26953.59
Belgium;Euro;2016;27574.37
Belgium;Euro;2017;28238.77
Belgium;Euro;2018;29240.96
Belgium;Euro;2019;30188.71
Belgium;Euro;2020;30539.81
Belgium;Euro;2021;31063.95
Belgium;Euro;2022;32889.21
Belgium;Euro;2023;35604.37
Bulgaria;Euro;2008;2605.86
Bulgaria;Euro;2009;2951.37
Bulgaria;Euro;2010;3202.34
Bulgaria;Euro;2011;3396.45
Bulgaria;Euro;2012;3598.45
Bulgaria;Euro;2013;3798.06
Bulgaria;Euro;2014;4033.73
Bulgaria;Euro;2015;4339.15
Bulgaria;Euro;2016;4689.05
Bulgaria;Euro;2017;5132.74
Bulgaria;Euro;2018;5447.1
Bulgaria;Euro;2019;6093.02
Bulgaria;Euro;2020;6612.77
Bulgaria;Euro;2021;7272.19
Bulgaria;Euro;2022;8321.77
Bulgaria;Euro;2023;9355.23
Switzerland;Euro;2000;38460.45
Switzerland;Euro;2001;40721.56
Switzerland;Euro;2002;42844.4
Switzerland;Euro;2003;42012.65
Switzerland;Euro;2004;42110.35
Switzerland;Euro;2005;42419.78
Switzerland;Euro;2006;42394.06
Switzerland;Euro;2007;41779.66
Switzerland;Euro;2008;43376.3
Switzerland;Euro;2009;45933.26
Switzerland;Euro;2010;50916.25
Switzerland;Euro;2011;57375.13
Switzerland;Euro;2012;61358.26
Switzerland;Euro;2013;60644.02
Switzerland;Euro;2014;59338.83
Switzerland;Euro;2015;67278.99
Switzerland;Euro;2016;67704.82
Switzerland;Euro;2017;66716.49
Switzerland;Euro;2018;64808.97
Switzerland;Euro;2019;68311.31
Switzerland;Euro;2020;72035.35
Switzerland;Euro;2021;73742.44
Switzerland;Euro;2022;82173.02
Switzerland;Euro;2023;85582.07
Cyprus;Euro;2005;15591.75
Cyprus;Euro;2006;16657.98
Cyprus;Euro;2007;17572.13
Cyprus;Euro;2014;19096.46
Cyprus;Euro;2017;19531.22
Cyprus;Euro;2018;20026.89
Cyprus;Euro;2019;20282.76
Cyprus;Euro;2020;20056.8
Cyprus;Euro;2021;20459.03
Cyprus;Euro;2022;22006.36
Cyprus;Euro;2023;22913.46
Czechia;Euro;2000;3503.73
Czechia;Euro;2001;3960.76
Czechia;Euro;2002;4676.61
Czechia;Euro;2003;4721.51
Czechia;Euro;2004;4999.03
Czechia;Euro;2005;5587.37
Czechia;Euro;2006;6394.53
Czechia;Euro;2007;6962.34
Czechia;Euro;2008;8345.91
Czechia;Euro;2009;8240.09
Czechia;Euro;2010;8832.96
Czechia;Euro;2011;9257.22
Czechia;Euro;2012;9311.44
Czechia;Euro;2013;8973.79
Czechia;Euro;2014;8694.95
Czechia;Euro;2015;9017.25
Czechia;Euro;2016;9446.75
Czechia;Euro;2017;10263.3
Czechia;Euro;2018;11256.33
Czechia;Euro;2019;11992.68
Czechia;Euro;2020;11974.4
Czechia;Euro;2021;13969.74
Czechia;Euro;2022;15703.05
Czechia;Euro;2023;17168.06
Germany;Euro;2000;19538.92
Germany;Euro;2001;20406.53
Germany;Euro;2002;20871.73
Germany;Euro;2003;21067.21
Germany;Euro;2004;21992.56
Germany;Euro;2005;22363.1
Germany;Euro;2006;22504.85
Germany;Euro;2007;23194.68
Germany;Euro;2008;23841.5
Germany;Euro;2009;23870.65
Germany;Euro;2010;25374.06
Germany;Euro;2011;26088.04
Germany;Euro;2012;26729.62
Germany;Euro;2013;27171.02
Germany;Euro;2014;27791.42
Germany;Euro;2015;28410.71
Germany;Euro;2016;28986.32
Germany;Euro;2017;29468.63
Germany;Euro;2018;30419.87
Germany;Euro;2019;31486.26
Germany;Euro;2020;31292.95
Germany;Euro;2021;32850.2
Germany;Euro;2022;35740.18
Germany;Euro;2023;38086.35
Denmark;Euro;2000;22125.95
Denmark;Euro;2001;23268.35
Denmark;Euro;2002;24439.83
Denmark;Euro;2003;25154.0
Denmark;Euro;2004;26117.61
Denmark;Euro;2005;26440.34
Denmark;Euro;2006;27243.49
Denmark;Euro;2007;28469.57
Denmark;Euro;2008;29595.89
Denmark;Euro;2009;30962.07
Denmark;Euro;2010;32349.16
Denmark;Euro;2011;33153.43
Denmark;Euro;2012;33617.32
Denmark;Euro;2013;33873.44
Denmark;Euro;2014;34330.38
Denmark;Euro;2015;34689.46
Denmark;Euro;2016;35021.65
Denmark;Euro;2017;35558.92
Denmark;Euro;2018;36307.24
Denmark;Euro;2019;37133.59
Denmark;Euro;2020;37878.85
Denmark;Euro;2021;38938.24
Denmark;Euro;2022;40436.73
Denmark;Euro;2023;41930.66
Euro area - 19 countries  (2015-2022);Euro;2005;19736.9
Euro area - 19 countries  (2015-2022);Euro;2006;20296.52
Euro area - 19 countries  (2015-2022);Euro;2007;20944.89
Euro area - 19 countries  (2015-2022);Euro;2008;21732.66
Euro area - 19 countries  (2015-2022);Euro;2009;22159.43
Euro area - 19 countries  (2015-2022);Euro;2010;22845.73
Euro area - 19 countries  (2015-2022);Euro;2011;23337.63
Euro area - 19 countries  (2015-2022);Euro;2012;23810.65
Euro area - 19 countries  (2015-2022);Euro;2013;24085.19
Euro area - 19 countries  (2015-2022);Euro;2014;24480.2
Euro area - 19 countries  (2015-2022);Euro;2015;24949.38
Euro area - 19 countries  (2015-2022);Euro;2016;25246.67
Euro area - 19 countries  (2015-2022);Euro;2017;25529.81
Euro area - 19 countries  (2015-2022);Euro;2018;26116.1
Euro area - 19 countries  (2015-2022);Euro;2019;26810.26
Euro area - 19 countries  (2015-2022);Euro;2020;26865.73
Euro area - 19 countries  (2015-2022);Euro;2021;27963.39
Euro area - 19 countries  (2015-2022);Euro;2022;29249.31
Euro area – 20 countries (from 2023);Euro;2013;23916.2
Euro area – 20 countries (from 2023);Euro;2014;24299.62
Euro area – 20 countries (from 2023);Euro;2015;24767.39
Euro area – 20 countries (from 2023);Euro;2016;25062.39
Euro area – 20 countries (from 2023);Euro;2017;25342.28
Euro area – 20 countries (from 2023);Euro;2018;25932.34
Euro area – 20 countries (from 2023);Euro;2019;26653.4
Euro area – 20 countries (from 2023);Euro;2020;26673.55
Euro area – 20 countries (from 2023);Euro;2021;27766.97
Euro area – 20 countries (from 2023);Euro;2022;29043.9
Euro area – 20 countries (from 2023);Euro;2023;31149.82
Estonia;Euro;2000;3068.14
Estonia;Euro;2001;3465.43
Estonia;Euro;2002;3804.81
Estonia;Euro;2003;4105.69
Estonia;Euro;2004;4470.88
Estonia;Euro;2005;5056.23
Estonia;Euro;2006;6059.12
Estonia;Euro;2007;7268.34
Estonia;Euro;2008;8249.98
Estonia;Euro;2009;7729.45
Estonia;Euro;2010;7820.19
Estonia;Euro;2011;8324.26
Estonia;Euro;2012;8812.65
Estonia;Euro;2013;9445.7
Estonia;Euro;2014;9914.95
Estonia;Euro;2015;10638.42
Estonia;Euro;2016;11454.71
Estonia;Euro;2017;12233.44
Estonia;Euro;2018;13437.69
Estonia;Euro;2019;14169.6
Estonia;Euro;2020;14444.62
Estonia;Euro;2021;15300.44
Estonia;Euro;2022;16472.09
Estonia;Euro;2023;17523.61
Greece;Euro;2000;12120.3
Greece;Euro;2001;12441.43
Greece;Euro;2002;13516.7
Greece;Euro;2003;14856.55
Greece;Euro;2004;16167.67
Greece;Euro;2005;16572.52
Greece;Euro;2006;17630.26
Greece;Euro;2007;17790.0
Greece;Euro;2008;17896.82
Greece;Euro;2009;18510.86
Greece;Euro;2010;18567.36
Greece;Euro;2011;17573.29
Greece;Euro;2012;17136.8
Greece;Euro;2013;15845.09
Greece;Euro;2014;16069.85
Greece;Euro;2015;15627.52
Greece;Euro;2016;15006.72
Greece;Euro;2017;14898.2
Greece;Euro;2018;14850.01
Greece;Euro;2019;15075.5
Greece;Euro;2020;14325.38
Greece;Euro;2021;15567.87
Greece;Euro;2022;16811.66
Greece;Euro;2023;17706.98
Spain;Euro;2000;13881.61
Spain;Euro;2001;14308.82
Spain;Euro;2002;14793.85
Spain;Euro;2003;15548.87
Spain;Euro;2004;16019.09
Spain;Euro;2005;16432.64
Spain;Euro;2006;16832.53
Spain;Euro;2007;17461.33
Spain;Euro;2008;18765.37
Spain;Euro;2009;19380.5
Spain;Euro;2010;19399.72
Spain;Euro;2011;19891.57
Spain;Euro;2012;19975.06
Spain;Euro;2013;20061.89
Spain;Euro;2014;20169.47
Spain;Euro;2015;20844.88
Spain;Euro;2016;20827.52
Spain;Euro;2017;20948.65
Spain;Euro;2018;21198.42
Spain;Euro;2019;21481.84
Spain;Euro;2020;20632.83
Spain;Euro;2021;21668.52
Spain;Euro;2022;22577.6
Spain;Euro;2023;23567.74
European Union - 15 countries (1995-2004);Euro;2000;20075.74
European Union - 15 countries (1995-2004);Euro;2001;20802.69
European Union - 15 countries (1995-2004);Euro;2002;21400.23
European Union - 15 countries (1995-2004);Euro;2003;21396.55
European Union - 15 countries (1995-2004);Euro;2004;22227.8
European Union - 15 countries (1995-2004);Euro;2005;22757.35
European Union - 15 countries (1995-2004);Euro;2006;23433.81
European Union - 15 countries (1995-2004);Euro;2007;24283.06
European Union - 15 countries (1995-2004);Euro;2008;24198.57
European Union - 15 countries (1995-2004);Euro;2009;23953.18
European Union - 15 countries (1995-2004);Euro;2010;24936.32
European Union - 15 countries (1995-2004);Euro;2011;25345.02
European Union - 15 countries (1995-2004);Euro;2012;26321.38
European Union - 15 countries (1995-2004);Euro;2013;26427.76
European Union - 15 countries (1995-2004);Euro;2014;27065.04
European Union - 15 countries (1995-2004);Euro;2015;28266.82
European Union - 15 countries (1995-2004);Euro;2016;27907.82
European Union - 15 countries (1995-2004);Euro;2017;27946.01
European Union - 15 countries (1995-2004);Euro;2018;28497.21
European Union - 15 countries (1995-2004);Euro;2019;29294.3
European Union - 27 countries (from 2020);Euro;2013;21207.11
European Union - 27 countries (from 2020);Euro;2014;21517.52
European Union - 27 countries (from 2020);Euro;2015;21903.5
European Union - 27 countries (from 2020);Euro;2016;22187.55
European Union - 27 countries (from 2020);Euro;2017;22537.06
European Union - 27 countries (from 2020);Euro;2018;23103.97
European Union - 27 countries (from 2020);Euro;2019;23794.88
European Union - 27 countries (from 2020);Euro;2020;23909.45
European Union - 27 countries (from 2020);Euro;2021;24913.31
European Union - 27 countries (from 2020);Euro;2022;26135.5
European Union - 27 countries (from 2020);Euro;2023;28217.34
European Union - 28 countries (2013-2020);Euro;2013;22653.09
European Union - 28 countries (2013-2020);Euro;2014;23189.8
European Union - 28 countries (2013-2020);Euro;2015;24195.99
European Union - 28 countries (2013-2020);Euro;2016;23952.78
European Union - 28 countries (2013-2020);Euro;2017;24096.67
European Union - 28 countries (2013-2020);Euro;2018;24674.01
European Union - 28 countries (2013-2020);Euro;2019;25452.22
Finland;Euro;2000;17430.51
Finland;Euro;2001;18511.05
Finland;Euro;2002;19585.21
Finland;Euro;2003;20290.01
Finland;Euro;2004;21262.64
Finland;Euro;2005;22124.75
Finland;Euro;2006;23282.87
Finland;Euro;2007;24744.36
Finland;Euro;2008;26026.18
Finland;Euro;2009;27191.47
Finland;Euro;2010;27803.54
Finland;Euro;2011;28421.92
Finland;Euro;2012;29246.92
Finland;Euro;2013;29654.15
Finland;Euro;2014;29641.38
Finland;Euro;2015;29918.29
Finland;Euro;2016;30306.38
Finland;Euro;2017;30805.85
Finland;Euro;2018;31400.22
Finland;Euro;2019;32135.14
Finland;Euro;2020;33191.98
Finland;Euro;2021;33906.14
Finland;Euro;2022;34958.63
Finland;Euro;2023;36475.01
France;Euro;2000;18923.39
France;Euro;2001;19510.12
France;Euro;2002;20169.96
