COUNTRY_CODE;COUNTRY_NAME;YEAR;TEMPERATURE
AT;Austria;2009;30.434601441726745
BE;Belgium;2009;21.765490228759532
BG;Bulgaria;2009;46.69361223384308
CY;Cyprus;2009;6.221092545522737
CZ;Czechia;2009;0.0
DE;Germany;2009;14.38393266386099
DK;Denmark;2009;22.259260802533444
EE;Estonia;2009;23.438476603191802
ES;Spain;2009;21.89674569773741
FI;Finland;2009;6.5086045251885505
FR;France;2009;10.467102795949833
GB;United Kingdom;2009;34.29648933652879
HU;Hungary;2009;100.0
IE;Ireland;2009;34.526438601608405
IT;Italy;2009;75.31147131130464
LT;Lithuania;2009;42.5934413933914
LU;Luxembourg;2009;12.829701237551568
LV;Latvia;2009;33.94308096170674
MT;Malta;2009;10.317096545689404
NI;Nicaragua;2009;33.384921144638405
NL;Netherlands;2009;28.48868702862619
PL;Poland;2009;75.14896454018917
PT;Portugal;2009;20.009167048627027
RO;Romania;2009;27.79496929240215
SE;Sweden;2009;1.3542230926288532
SI;Slovenia;2009;33.90141255885662
SK;Slovakia;2009;26.096920705029373
