LABEL;name;VOTES_PERCENT;TEMPERATURE;WEIGHTED_TEMP
"""Enhedslisten, de Rød-Grønne""";Denmark;5.51;-2.0;-11.02
50Plus;Netherlands;3.91;0.0;0.0
ANO 2011;Czechia;21.18;0.5;10.59
ANO, vytrollíme europarlament;Czechia;1.56;0.0;0.0
Aliança;Portugal;2.0;0.5;1.0
Alianța Liberalilor și Democraților;Romania;4.11;1.0;4.11
Alliance Party;;0.51;0.0;0.0
Alliance Party;;18.5;0.0;0.0
Alliance Party;Nicaragua;0.51;0.0;0.0
Alliance Party;Nicaragua;18.5;0.0;0.0
Alternativ Demokratesch Reformpartei/Parti alternatif et démocratique de réformes;Luxembourg;10.03;1.0;10.03
Alternative für Deutschland;Germany;11.0;2.0;22.0
Alternativet;Denmark;3.37;-1.0;-3.37
Alternattiva Demokratika/Democratic Alternative;Malta;0.72;-1.0;-0.72
Bandić Milan 365 - Stranka rada i solidarnosti;Croatia;1.97;-0.5;-0.985
Bloco de Esquerda;Portugal;10.56;-2.0;-21.12
Brexit Party;;30.79;2.0;61.58
Brexit Party;;31.6;2.0;63.2
Brexit Party;United Kingdom of Great Britain and Northern Ireland;30.79;2.0;61.58
Brexit Party;United Kingdom of Great Britain and Northern Ireland;31.6;2.0;63.2
Bulgarska sotsialisticheska partiya/Българска социалистическа партия;Bulgaria;24.26;-1.5;-36.39
Bündnis 90/Die Grünen;Germany;20.5;-1.0;-20.5
CDS - Partido Popular;Portugal;6.65;1.5;9.975000000000001
Centerpartiet;Sweden;10.78;0.5;5.39
Centra partija;Latvia;0.49;0.0;0.0
Centre Démocrate Humaniste;Belgium;8.94;-0.5;-4.47
Centre Démocrate Humaniste;Belgium;3.41;-0.5;-1.705
Centre Démocrate Humaniste;;8.94;-0.5;-4.47
Centre Démocrate Humaniste;;3.41;-0.5;-1.705
Change UK;;3.31;0.0;0.0
Change UK;;3.4;0.0;0.0
Change UK;United Kingdom of Great Britain and Northern Ireland;3.31;0.0;0.0
Change UK;United Kingdom of Great Britain and Northern Ireland;3.4;0.0;0.0
Christen-Democratisch & Vlaams;Belgium;8.9;0.5;4.45
Christen-Democratisch & Vlaams;Belgium;14.53;0.5;7.265
Christen-Democratisch & Vlaams;;8.9;0.5;4.45
Christen-Democratisch & Vlaams;;14.53;0.5;7.265
Christen-Democratisch Appèl;Netherlands;12.18;0.5;6.09
ChristenUnie - Staatkundig Gereformeerde Partij;Netherlands;6.83;0.5;3.415
Christlich Demokratische Union Deutschlands / Christlich-Soziale Union in Bayern e.V.;Germany;28.9;1.0;28.9
Christlich Soziale Partei;Belgium;0.22;-0.5;-0.11
Christlich Soziale Partei;Belgium;34.9;-0.5;-17.45
Christlich Soziale Partei;;0.22;-0.5;-0.11
Christlich Soziale Partei;;34.9;-0.5;-17.45
Chrëschtlech-Sozial Vollekspartei/Parti populaire chrétien-social;Luxembourg;21.1;0.5;10.55
Ciudadanos - Partido de la Ciudadanía;Spain;12.3;1.0;12.3
Coal LLIURES PER EUROPA (JUNTS) (Partit Demòcrata Europeu Català  + Junts per Catalunya);Spain;4.59;0.5;2.295
Coalition (FIDESZ - Magyar Polgári Szövetség + Kereszténydemokrata Néppárt);Hungary;52.56;1.5;78.84
Coalition (Grazhdani za evropeysko razvitie na Balgariya + Sayuz na demokratichnite sili / Граждани за европейско развитие на България + Съюз на демократичните сили);Bulgaria;31.07;1.0;31.07
Coalition (Neovisni za Hrvatsku + Hrvatska Stranka Prava);Croatia;4.37;2.0;8.74
Coalition (Obyčajní Ľudia a nezávislé osobnosti + Nová väčšina - Dohoda);Slovakia;5.25;0.5;2.625
Coalition (Pametno + Unija Kvarnera coalition);Croatia;1.4;-0.5;-0.7
Coalition (Progresívne Slovensko + SPOLU - občianska demokracia);Slovakia;20.11;0.5;10.055
Coalition (Slovenska demokratska stranka + Slovenska ljudska stranka);Slovenia;26.25;1.0;26.25
Coalition +Europa (+ Europa - Italia in Comune - Partito Democratico Europeo).;Italy;3.11;0.5;1.555
Coalition 2020 USR + PLUS Alliance (Uniunea Salvați România + Partidul Libertății, Unității și Solidarității);Romania;22.36;1.0;22.36
Coalition AP! (Latvijas attīstībai + Kustība Par!);Latvia;12.42;0.5;6.21
Coalition Ahora Repúblicas (Esquerra Republicana de Catalunya + Euskal Herria Bildu + El Bloque Nacionalista Galego);Spain;5.64;-1.5;-8.459999999999999
Coalition Amsterdamska koalicija (Hrvatski laburisti + Primorsko goranski savez + Hrvatska stranka umirovljenika + Istarski demokratski sabor + Hrvatska seljačka stranka + Građansko-liberalni savez + Demokrati);Croatia;5.19;0.5;2.595
Coalition Atmoda;Latvia;0.47;1.0;0.47
Coalition Compromiso por Europa (Compromís + En Marea +Chunta Aragonesista + Partido Castellano + Coalición Caballas + Nueva Canarias + Més per Mallorca + Coalición por Melilla + Iniciativa del Pueblo Andaluz + Izquierda Andalucista + Verdes de Europa);Spain;1.33;-1.0;-1.33
Coalition Envie d'Europe écologique et sociale (Parti Socialiste + Radicaux de Gauche + Place publique + Nouvelle Donne);France;6.19;-1.5;-9.285
Coalition Federazione dei Verdi (Verdi + Possibile + Green Italia et al.).;Italy;2.32;-1.0;-2.32
Coalition Hrvatski suverenisti (HRAST - Pokret za uspješnu Hrvatsku + Hrvatska konzervativna stranka - HKS + Hrvatska stranka prava de. Ante Starrčević - HSP AS + Ujedinjeni hrvatski domoljubi - UHD);Croatia;8.52;2.0;17.04
Coalition Koalicja Europejska (Platforma Obywatelska + Polskie Stronnictwo Ludowe + Sojusz Lewicy Demokratycznej + Nowoczesna + Partia Zieloni);Poland;38.47;0.5;19.235
Coalition La Sinistra (Sinistra italiana + Rifondazione comunista + Altra Europa con Tsipras + Partito del Sud + Transform Itali + Convergenza Socialista);Italy;1.75;-2.0;-3.5
Coalition Lewica Razem (Partia Razem + Unia Pracy + Ruch Sprawiedliwości Społecznej);Poland;1.24;-2.0;-2.48
Coalition Nacionālā apvienība (Tēvzemei un Brīvībai/LNNK + Visu Latvijai!);Latvia;16.4;2.0;32.8
Coalition Renaissance (La Republique En marche! + MoDem + Agir + Mouvement radical, social et libéral);France;22.42;1.0;22.42
Coalition Unidas Podemos Cambiar Europa (Unidas Podemos + Izquierda Unida + Catalunya en Comú + Barcelona en Comú);Spain;10.17;-2.0;-20.34
Coalition Zaļo un Zemnieku Savienība (Latvijas Zemnieku Savienība + Latvijas Zaļā Partija);Latvia;5.34;-0.5;-2.67
Coalition Zelena ljevica (Možemo! - politička platforma + Nova ljevica + Održivi razvoj Hrvatske - ORaH);Croatia;1.79;-1.5;-2.685
Coalition por una Europa Solidaria (Euzko Alderdi Jeltzalea - Partido Nacionalista Vasco + Coalición Canaria + Compromiso por Galicia + Atarrabia Taldea + Proposta per les Illes Balears y Demòcrates Valencians);Spain;2.85;0.5;1.425
Coalition Κίνημα Αλλαγής/Movement for Change (Πανελλήνιο Σοσιαλιστικό Κίνημα + Δημοκρατική Συμπαράταξη + Κίνημα Δημοκρατών Σοσιαλιστών / Panhellenic Socialist Movement + Democratic Alignment + Movement of Democratic Socialists);;7.72;-1.5;-11.58
Coaltion (Magyar Szocialista Párt + Párbeszéd Magyarországért);Hungary;6.61;-1.5;-9.915000000000001
Coligação Democrática Unitária (Partido Comunista Português + Partido Ecologista os Verdes);Portugal;7.41;-2.0;-14.82
Conservative and Unionist Party;;8.86;1.5;13.29
Conservative and Unionist Party;;9.09;1.5;13.635
Conservative and Unionist Party;United Kingdom of Great Britain and Northern Ireland;8.86;1.5;13.29
Conservative and Unionist Party;United Kingdom of Great Britain and Northern Ireland;9.09;1.5;13.635
DENK;Netherlands;1.1;-1.0;-1.1
DIE LINKE;Germany;5.5;-2.0;-11.0
Dansk Folkeparti;Denmark;10.76;2.0;21.52
Darbo partija;Lithuania;8.99;-0.5;-4.495
Debout la France + CNIP;France;3.51;1.5;5.265
Democraten 66;Netherlands;7.09;-0.5;-3.545
Democratic Unionist Party;;0.6;1.5;0.8999999999999999
Democratic Unionist Party;;21.8;1.5;32.7
Democratic Unionist Party;Nicaragua;0.6;1.5;0.8999999999999999
Democratic Unionist Party;Nicaragua;21.8;1.5;32.7
Demokratesch Partei/Parti démocratique;Luxembourg;21.43;1.0;21.43
Demokratichna Bulgaria / Демократична България;Bulgaria;6.06;0.5;3.03
Demokratikus Koalíció;Hungary;16.05;-0.5;-8.025
Demokratična stranka upokojencev Slovenije;Slovenia;5.67;-0.5;-2.835
