PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
UK01;PARTY;24.74;FINAL;
UK02;PARTY;0.35;FINAL;
UK03;PARTY;23.31;FINAL;
UK04;PARTY;6.69;FINAL;
UK05;PARTY;0.66;FINAL;
UK06;PARTY;0.69;FINAL;
UK07;PARTY;2.4;FINAL;
UK08;PARTY;7.67;FINAL;
UK09;PARTY;26.77;FINAL;
UK10;PARTY;0.54;FINAL;
UK90;PARTY;0.71;FINAL;
UK91;PARTY;5.47;FINAL;
FI01;PARTY;22.6;FINAL;
FI02;PARTY;12.3;FINAL;
FI03;PARTY;12.9;FINAL;
FI04;PARTY;6.8;FINAL;
FI05;PARTY;19.7;FINAL;
FI06;PARTY;9.3;FINAL;
FI07;PARTY;9.3;FINAL;
FI90;PARTY;7.1;FINAL;
EL01;PARTY;22.72;FINAL;
EL02;PARTY;6.6;FINAL;
EL03;COALITION;8.02;FINAL;
EL05;PARTY;3.46;FINAL;
EL06;COALITION;26.57;FINAL;
EL08;PARTY;6.11;FINAL;
EL09;PARTY;9.39;FINAL;
EL90;PARTY;17.13;FINAL;
ES01;COALITION;5.42;FINAL;
ES05;PARTY;26.09;FINAL;
ES06;PARTY;23.01;FINAL;
ES07;PARTY;3.16;FINAL;
ES08;PARTY;6.51;FINAL;
ES09;COALITION;2.08;FINAL;
ES11;PARTY;7.98;FINAL;
ES12;COALITION;10.03;FINAL;
ES16;COALITION;1.92;FINAL;
ES18;COALITION;4.01;FINAL;
ES90;PARTY;9.79;FINAL;
LU01;PARTY;37.66;FINAL;
LU02;PARTY;11.73;FINAL;
LU03;PARTY;14.77;FINAL;
LU04;PARTY;15.01;FINAL;
LU90;PARTY;20.83;FINAL;
PT01;COALITION;29.95;FINAL;
PT04;PARTY;34.01;FINAL;
PT05;PARTY;7.72;FINAL;
PT06;PARTY;4.93;FINAL;
PT07;COALITION;13.71;FINAL;
PT90;PARTY;9.68;FINAL;
AT01;PARTY;26.98;FINAL;
AT02;PARTY;24.09;FINAL;
AT03;PARTY;8.14;FINAL;
AT04;PARTY;14.52;FINAL;
AT05;PARTY;19.72;FINAL;
AT90;PARTY;6.55;FINAL;
CY01;PARTY;37.75;FINAL;
CY02;PARTY;7.68;FINAL;
CY03;PARTY;10.83;FINAL;
CY04;PARTY;26.98;FINAL;
CY90;PARTY;16.76;FINAL;
LT01;PARTY;17.43;FINAL;
LT02;PARTY;17.26;FINAL;
LT03;PARTY;8.05;FINAL;
LT04;PARTY;12.81;FINAL;
LT05;PARTY;6.61;FINAL;
LT06;PARTY;14.25;FINAL;
LT07;PARTY;16.55;FINAL;
LT90;PARTY;7.04;FINAL;
HR01;COALITION;41.42;FINAL;
HR05;COALITION;29.93;FINAL;
HR09;PARTY;9.42;FINAL;
HR90;PARTY;19.23;FINAL;
FR01;PARTY;20.81;FINAL;
FR02;COALITION;13.98;FINAL;
FR05;COALITION;9.94;FINAL;
FR08;PARTY;0.0;FINAL;
FR09;COALITION;6.33;FINAL;
FR13;PARTY;8.95;FINAL;
FR14;PARTY;0.0;FINAL;
FR15;PARTY;24.86;FINAL;
FR90;PARTY;15.13;FINAL;
IE01;PARTY;22.28;FINAL;
IE02;PARTY;25.64;FINAL;
IE03;PARTY;22.31;FINAL;
IE04;PARTY;19.52;FINAL;
IE90;PARTY;10.25;FINAL;
UK01;PARTY;25.4;FINAL;
UK03;PARTY;23.93;FINAL;
UK04;PARTY;6.87;FINAL;
UK06;PARTY;0.71;FINAL;
UK07;PARTY;2.46;FINAL;
UK08;PARTY;7.87;FINAL;
UK09;PARTY;27.49;FINAL;
UK91;PARTY;5.27;FINAL;
LV01;PARTY;46.19;FINAL;
LV02;PARTY;13.04;FINAL;
LV03;COALITION;14.25;FINAL;
LV05;PARTY;6.38;FINAL;
LV06;COALITION;8.26;FINAL;
LV90;PARTY;11.88;FINAL;
BE04;PARTY;29.29;FINAL;
BE09;PARTY;11.69;FINAL;
BE02;PARTY;11.36;FINAL;
BE08;PARTY;27.1;FINAL;
BE91;PARTY;20.56;FINAL;
UK05;PARTY;25.52;FINAL;
UK02;PARTY;13.33;FINAL;
UK10;PARTY;20.95;FINAL;
UK90;PARTY;40.2;FINAL;
DE01;COALITION;35.3;FINAL;
DE04;PARTY;27.3;FINAL;
DE05;PARTY;0.7;FINAL;
DE06;PARTY;7.1;FINAL;
DE07;PARTY;1.5;FINAL;
DE08;PARTY;3.4;FINAL;
DE09;PARTY;1.2;FINAL;
DE10;PARTY;7.4;FINAL;
DE11;PARTY;0.6;FINAL;
DE12;PARTY;1.4;FINAL;
DE13;PARTY;10.7;FINAL;
DE14;PARTY;0.6;FINAL;
DE15;PARTY;1.0;FINAL;
DE90;PARTY;1.8;FINAL;
DK01;PARTY;9.1;FINAL;
DK02;PARTY;19.1;FINAL;
DK03;PARTY;26.6;FINAL;
DK04;PARTY;6.5;FINAL;
DK05;PARTY;16.7;FINAL;
DK06;PARTY;8.1;FINAL;
DK07;PARTY;11.0;FINAL;
DK90;PARTY;2.9;FINAL;
IT01;PARTY;0.5;FINAL;
IT02;COALITION;4.38;FINAL;
IT05;PARTY;16.81;FINAL;
IT06;PARTY;40.81;FINAL;
IT07;PARTY;4.03;FINAL;
IT08;PARTY;21.15;FINAL;
IT09;PARTY;6.15;FINAL;
IT90;PARTY;6.17;FINAL;
BE01;PARTY;12.57;FINAL;
BE02;PARTY;4.14;FINAL;
BE03;PARTY;0.18;FINAL;
BE04;PARTY;10.68;FINAL;
BE05;PARTY;8.3;FINAL;
BE06;PARTY;16.79;FINAL;
BE07;PARTY;12.84;FINAL;
BE08;PARTY;9.88;FINAL;
BE09;PARTY;4.26;FINAL;
BE10;PARTY;6.69;FINAL;
BE11;PARTY;4.26;FINAL;
BE92;PARTY;3.02;FINAL;
BE91;PARTY;0.4;FINAL;
BE90;PARTY;5.99;FINAL;
CZ01;COALITION;9.95;FINAL;
CZ03;COALITION;15.95;FINAL;
CZ05;PARTY;14.17;FINAL;
CZ06;PARTY;7.67;FINAL;
CZ07;PARTY;16.13;FINAL;
CZ08;PARTY;10.98;FINAL;
CZ09;PARTY;5.24;FINAL;
CZ90;PARTY;19.91;FINAL;
HU01;COALITION;51.48;FINAL;
HU04;PARTY;9.75;FINAL;
HU05;PARTY;10.9;FINAL;
HU06;PARTY;5.04;FINAL;
HU07;COALITION;7.25;FINAL;
HU09;PARTY;14.67;FINAL;
HU90;PARTY;0.91;FINAL;
MT01;PARTY;40.02;FINAL;
MT02;PARTY;53.39;FINAL;
MT90;PARTY;6.59;FINAL;
RO01;PARTY;6.21;FINAL;
RO02;PARTY;6.3;FINAL;
RO03;PARTY;12.23;FINAL;
RO04;PARTY;15.0;FINAL;
RO05;COALITION;37.6;FINAL;
RO09;PARTY;6.81;FINAL;
RO90;PARTY;15.85;FINAL;
PL01;PARTY;6.8;FINAL;
PL02;PARTY;32.13;FINAL;
PL03;COALITION;9.44;FINAL;
PL06;COALITION;31.78;FINAL;
PL10;PARTY;7.15;FINAL;
PL90;PARTY;12.7;FINAL;
BG01;COALITION;6.45;FINAL;
BG03;PARTY;30.4;FINAL;
BG04;PARTY;18.93;FINAL;
BG05;COALITION;10.66;FINAL;
BG08;PARTY;17.27;FINAL;
BG90;PARTY;16.29;FINAL;
SI01;COALITION;16.56;FINAL;
SI04;PARTY;24.88;FINAL;
SI05;PARTY;8.02;FINAL;
SI06;PARTY;8.14;FINAL;
SI07;PARTY;10.46;FINAL;
SI90;PARTY;31.94;FINAL;
BE05;PARTY;13.18;FINAL;
BE10;PARTY;10.62;FINAL;
BE06;PARTY;26.67;FINAL;
BE01;PARTY;19.96;FINAL;
BE07;PARTY;20.4;FINAL;
BE11;PARTY;6.76;FINAL;
BE90;PARTY;2.41;FINAL;
EE01;PARTY;13.9;FINAL;
EE02;PARTY;13.6;FINAL;
EE03;PARTY;22.4;FINAL;
EE04;PARTY;24.3;FINAL;
EE05;PARTY;13.2;FINAL;
EE90;PARTY;12.6;FINAL;
SE01;PARTY;5.93;FINAL;
SE02;PARTY;13.65;FINAL;
SE03;PARTY;5.49;FINAL;
SE04;PARTY;24.19;FINAL;
SE05;PARTY;6.49;FINAL;
SE06;PARTY;9.91;FINAL;
SE07;PARTY;6.3;FINAL;
SE08;PARTY;15.41;FINAL;
SE09;PARTY;9.67;FINAL;
SE90;PARTY;2.96;FINAL;
NL01;PARTY;15.18;FINAL;
NL02;PARTY;9.4;FINAL;
NL03;COALITION;7.67;FINAL;
NL06;PARTY;12.02;FINAL;
NL07;PARTY;15.48;FINAL;
NL08;PARTY;4.21;FINAL;
NL09;PARTY;9.6;FINAL;
NL10;PARTY;6.98;FINAL;
NL11;PARTY;13.32;FINAL;
NL90;PARTY;6.14;FINAL;
BE03;PARTY;30.34;FINAL;
BE92;PARTY;69.66;FINAL;
SK01;PARTY;5.83;FINAL;
SK02;PARTY;6.53;FINAL;
SK03;PARTY;7.75;FINAL;
SK04;PARTY;13.21;FINAL;
SK05;PARTY;24.09;FINAL;
SK06;PARTY;6.83;FINAL;
SK07;PARTY;7.46;FINAL;
SK08;PARTY;6.66;FINAL;
SK90;PARTY;21.64;FINAL;
