DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
BE,BE01,PARTY,CD&V,Christen-Democratisch & Vlaams,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE02,PARTY,Groen,Groen,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE03,PARTY,N-VA,Nieuw-Vlaamse Alliantie,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE04,PARTY,sp.a,Socialistische Partij - Anders,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE05,PARTY,VI.Belang,Vlaams Belang,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE06,PARTY,Open VLD,Open Vlaamse Liberalen en Democraten,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE07,PARTY,PVDA-PTB,Partij van de Arbeid van België,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE08,PARTY,PS,Parti Socialiste,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE09,PARTY,MR,Mouvement Réformateur,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE10,PARTY,cdH,Centre Démocrate Humaniste,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE11,PARTY,ECOLO,Ecologistes Confédérés pour l'Organisation de Luttes Originales,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE12,PARTY,PTB-PVDA,Parti du Travail de Belgique,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE13,PARTY,DéFI,Démocrate Fédéraliste Indépendant,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE14,PARTY,PP,Parti Populaire,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE15,PARTY,CSP,Christlich Soziale Partei,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE16,PARTY,SP,Sozialistische Partei,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE17,PARTY,PFF,Partei für Freiheit und Fortschritt,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE18,PARTY,ProDG,Pro deutschsprachige Gemeinschaft,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE19,PARTY,ECOLO (G.),Ecologistes Confédérés pour l'Organisation de Luttes Originales (G.),,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE91,PARTY,Other parties W.,Other parties from French-speaking electoral college,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE92,PARTY,Other parties G.,Other parties from German-speaking electoral college,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
FBE,BE01,PARTY,CD&V,Christen-Democratisch & Vlaams,,,,,,,,,,,,,
FBE,BE02,PARTY,Groen,Groen,,,,,,,,,,,,,
FBE,BE03,PARTY,N-VA,Nieuw-Vlaamse Alliantie,,,,,,,,,,,,,
FBE,BE04,PARTY,sp.a,Socialistische Partij - Anders,,,,,,,,,,,,,
FBE,BE05,PARTY,VI.Belang,Vlaams Belang,,,,,,,,,,,,,
FBE,BE06,PARTY,Open VLD,Open Vlaamse Liberalen en Democraten,,,,,,,,,,,,,
FBE,BE07,PARTY,PVDA-PTB,Partij van de Arbeid van België,,,,,,,,,,,,,
FBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,,,,,,,,,,,,
GBE,BE15,PARTY,CSP,Christlich Soziale Partei,,,,,,,,,,,,,
GBE,BE16,PARTY,SP,Sozialistische Partei,,,,,,,,,,,,,
GBE,BE17,PARTY,PFF,Partei für Freiheit und Fortschritt,,,,,,,,,,,,,
