DIVISION_ID,ID,TYPE,ACRONYM,LABEL,MEMBER_OF_COALITION,COALITION_MEMBERS,name,alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
BE,BE01,PARTY,N-VA,Nieuw-Vlaamse Alliantie,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE02,PARTY,VB,Vlaams Belang,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE03,PARTY,Open VLD,Open Vlaamse Liberalen en Democraten,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE04,PARTY,CD&V,Christen-Democratisch en Vlaams,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE05,PARTY,Groen,Groen,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE06,PARTY,Vooruit,Vooruit,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE07,PARTY,PVDA,Partij van de Arbeid van België,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE08,PARTY,PS,Parti Socialiste,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE09,PARTY,ECOLO,Ecologistes Confédérés pour l'Organisation de Luttes Originales,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE10,PARTY,MR,Mouvement Réformateur,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE11,PARTY,Les Engagés,Les Engagés,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE12,PARTY,DéFI,Démocrate Fédéraliste Indépendant,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE13,PARTY,PTB,Parti du Travail de Belgique,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE14,PARTY,CSP,Christlich Soziale Partei,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE15,PARTY,SP,Sozialistische Partei,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE16,PARTY,PFF-MR,Partei für Freiheit und Fortschritt,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE17,PARTY,ProDG,Pro deutschsprachige Gemeinschaft,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE18,PARTY,ECOLO (G.),Ecologistes Confédérés pour l'Organisation de Luttes Originales (G.),,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE91,PARTY,Other parties W.,Other parties from French-speaking electoral college,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BE,BE92,PARTY,Other parties G.,Other parties from German-speaking electoral college,,,Belgium,BE,BEL,56.0,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
FBE,BE01,PARTY,N-VA,Nieuw-Vlaamse Alliantie,,,,,,,,,,,,,
FBE,BE02,PARTY,VB,Vlaams Belang,,,,,,,,,,,,,
FBE,BE03,PARTY,Open VLD,Open Vlaamse Liberalen en Democraten,,,,,,,,,,,,,
FBE,BE04,PARTY,CD&V,Christen-Democratisch en Vlaams,,,,,,,,,,,,,
FBE,BE05,PARTY,Groen,Groen,,,,,,,,,,,,,
FBE,BE06,PARTY,Vooruit,Vooruit,,,,,,,,,,,,,
FBE,BE07,PARTY,PVDA,Partij van de Arbeid van België,,,,,,,,,,,,,
FBE,BE90,PARTY,Other parties F.,Other parties from Dutch-speaking electoral college,,,,,,,,,,,,,
GBE,BE14,PARTY,CSP,Christlich Soziale Partei ,,,,,,,,,,,,,
GBE,BE15,PARTY,SP,Sozialistische Partei,,,,,,,,,,,,,
GBE,BE16,PARTY,PFF-MR,Partei für Freiheit und Fortschritt,,,,,,,,,,,,,
GBE,BE17,PARTY,ProDG,Pro deutschsprachige Gemeinschaft ,,,,,,,,,,,,,
GBE,BE18,PARTY,ECOLO (G.),Ecologistes Confédérés pour l'Organisation de Luttes Originales ,,,,,,,,,,,,,
GBE,BE92,PARTY,Other parties G.,Other parties from German-speaking electoral college,,,,,,,,,,,,,
WBE,BE08,PARTY,PS,Parti Socialiste,,,,,,,,,,,,,
WBE,BE09,PARTY,ECOLO,Ecologistes Confédérés pour l'Organisation de Luttes Originales,,,,,,,,,,,,,
WBE,BE10,PARTY,MR,Mouvement Réformateur,,,,,,,,,,,,,
WBE,BE11,PARTY,Les Engagés,Les Engagés,,,,,,,,,,,,,
WBE,BE12,PARTY,DéFI,Démocrate Fédéraliste Indépendant,,,,,,,,,,,,,
WBE,BE13,PARTY,PTB,Parti du Travail de Belgique,,,,,,,,,,,,,
WBE,BE91,PARTY,Other parties W.,Other parties from French-speaking electoral college,,,,,,,,,,,,,
BG,BG01,COALITION,GERB - SDS/ГЕРБ - СДС ,Coalition Grazhdani za evropeysko razvitie na Balgariya - Sayuz na demokratichnite sili/Граждани за европейско развитие на България - Съюз на демократичните сили,,BG11|BG12,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG11,PARTY,GERB/ГЕРБ,Grazhdani za evropeysko razvitie na Balgariya,BG01,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG12,PARTY,SDS/СДС,Sayuz na demokratichnite sili/Съюз на демократичните сили,BG01,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG02,PARTY,BSP/БСП,Bulgarska sotsialisticheska partiy/Българска социалистическа партия,,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG03,PARTY,DPS/ДПС,Dvizhenie za prava i svobodi/Движение за права и свободи,,,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BG,BG04,COALITION,PP - DB/ПП - ДБ,Coalition Prodalzhavame promyanata – Demokratichna Balgariya/Продължаваме промяната – Демократична България,,BG14|BG13,Bulgaria,BG,BGR,100.0,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
