PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
IT01;PARTY;22;GP0901;OUTGOING;
IT02;PARTY;4;GP0901;OUTGOING;
IT02;PARTY;4;GP0903;OUTGOING;
IT03;PARTY;4;GP0901;OUTGOING;
IT04;PARTY;2;GP0901;OUTGOING;
IT05;PARTY;1;GP0901;OUTGOING;
IT06;PARTY;1;GP0901;OUTGOING;
IT07;PARTY;15;GP0902;OUTGOING;
IT08;PARTY;1;GP0902;OUTGOING;
IT10;PARTY;2;GP0903;OUTGOING;
IT11;PARTY;1;GP0903;OUTGOING;
IT12;PARTY;1;GP0903;OUTGOING;
IT13;PARTY;4;GP0905;OUTGOING;
IT14;PARTY;2;GP0905;OUTGOING;
IT15;PARTY;2;GP0904;OUTGOING;
IT16;PARTY;9;GP0906;OUTGOING;
IT17;PARTY;1;GP0906;OUTGOING;
IT18;PARTY;7;NA;OUTGOING;
IT19;PARTY;3;NA;OUTGOING;
IT20;PARTY;1;NA;OUTGOING;
