PARTY_ID;TYPE;SEATS_TOTAL;GROUP_ID;UPDATE_STATUS;UPDATE_TIME
IT01;PARTY;22;GP0801;CONSTITUTIVE;
IT02;PARTY;4;GP0801;CONSTITUTIVE;
IT03;PARTY;1;GP0801;CONSTITUTIVE;
IT04;PARTY;2;GP0801;CONSTITUTIVE;
IT05;PARTY;2;GP0801;CONSTITUTIVE;
IT06;PARTY;1;GP0801;CONSTITUTIVE;
IT07;PARTY;1;GP0801;CONSTITUTIVE;
IT08;PARTY;1;GP0801;CONSTITUTIVE;
IT09;PARTY;15;GP0802;CONSTITUTIVE;
IT10;PARTY;2;GP0802;CONSTITUTIVE;
IT11;PARTY;1;GP0803;CONSTITUTIVE;
IT12;PARTY;6;GP0803;CONSTITUTIVE;
IT13;PARTY;2;GP0804;CONSTITUTIVE;
IT14;PARTY;4;GP0805;CONSTITUTIVE;
IT15;PARTY;2;GP0805;CONSTITUTIVE;
IT16;PARTY;9;GP0806;CONSTITUTIVE;
IT17;PARTY;7;GP0807;CONSTITUTIVE;
IT18;PARTY;3;GP0807;CONSTITUTIVE;
IT18;PARTY;1;NA;CONSTITUTIVE;
IT19;PARTY;1;GP0807;CONSTITUTIVE;
