PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
BE01;PARTY;8.9;OFFICIAL;
BE02;PARTY;7.57;OFFICIAL;
BE03;PARTY;13.73;OFFICIAL;
BE04;PARTY;6.25;OFFICIAL;
BE05;PARTY;11.68;OFFICIAL;
BE06;PARTY;9.76;OFFICIAL;
BE07;PARTY;3.03;OFFICIAL;
BE08;PARTY;10.19;OFFICIAL;
BE09;PARTY;7.36;OFFICIAL;
BE10;PARTY;3.41;OFFICIAL;
BE11;PARTY;7.6;OFFICIAL;
BE12;PARTY;5.57;OFFICIAL;
BE13;PARTY;2.26;OFFICIAL;
BE14;PARTY;1.78;OFFICIAL;
BE15;PARTY;0.22;OFFICIAL;
BE16;PARTY;0.07;OFFICIAL;
BE17;PARTY;0.07;OFFICIAL;
BE18;PARTY;0.08;OFFICIAL;
BE19;PARTY;0.1;OFFICIAL;
BE90;PARTY;0.29;OFFICIAL;
BE91;PARTY;0.0;OFFICIAL;
BE92;PARTY;0.08;OFFICIAL;
