PARTY_ID;TYPE;VOTES_PERCENT;UPDATE_STATUS;UPDATE_TIME
LV01;PARTY;26.24;OFFICIAL;
LV02;PARTY;16.4;OFFICIAL;
LV03;PARTY;17.45;OFFICIAL;
LV04;PARTY;5.34;OFFICIAL;
LV05;PARTY;4.98;OFFICIAL;
LV06;PARTY;0.92;OFFICIAL;
LV07;PARTY;4.35;OFFICIAL;
LV08;PARTY;12.42;OFFICIAL;
LV09;PARTY;6.24;OFFICIAL;
LV10;PARTY;0.17;OFFICIAL;
LV11;PARTY;2.9;OFFICIAL;
LV12;PARTY;0.19;OFFICIAL;
LV13;PARTY;0.67;OFFICIAL;
LV14;PARTY;0.18;OFFICIAL;
LV15;PARTY;0.49;OFFICIAL;
LV16;PARTY;0.47;OFFICIAL;
LV90;PARTY;0.59;OFFICIAL;
